Pomeranian,18-28,1.4-3.2
Poodle (Miniature),28-38,6-9
Poodle (Standard),43-61,20-32
Poodle (Toy),24-28,2.3-4.5
Portuguese Podengo,20-30,4-7
Portuguese Podengo Pequeno,20-30,4-5
Portuguese Water Dog,43-57,16-27
Pug,25-36,6.3-8.1
Puli,36-47,10-15
Pumi,38-47,8-15
Pyrenean Mastiff,77-86,68-100
Pyrenean Shepherd,38-48,7-15
Rat Terrier,18-36,3-7
Redbone Coonhound,56-69,23-32
Rhodesian Ridgeback,61-69,32-36
Rottweiler,61-69,43-59
Russell Terrier,20-28,5-7
Russian Toy,20-28,1-3
Saint Bernard,66-76,64-120
Saluki,58-71,16-29
Samoyed,51-56,23-30
Schapendoes,34-43,12-20
Schipperke,28-33,3-9
Scottish Deerhound,71-81,32-49
Scottish Terrier,25,8.2-10.9
Sealyham Terrier,28-33,8.2-9.1
Shetland Sheepdog,33-41,6-11
Shiba Inu,36-41,8-11
Shih Tzu,20-28,4.5-8.2
Siberian Husky,53-60,16-27
Silky Terrier,23,3.2-4.5
Skye Terrier,25,16-18
Sloughi,61-71,16-27
Small Munsterlander Pointer,48-56,18-25
Smooth Fox Terrier,33,6.8-8.2
Soft Coated Wheaten Terrier,43-48,13-20
Spanish Mastiff,72-88,52-100
Spanish Water Dog,38-50,16-20
Spinone Italiano,60-70,29-39
Stabyhoun,50-53,18-22
Staffordshire Bull Terrier,36-41,11-17
Standard Schnauzer,46-51,14-20
Sussex Spaniel,36-41,20-23
Swedish Lapphund,43-51,16-25
Swedish Vallhund,31-35,11-16
Tibetan Mastiff,66-76,55-90
Tibetan Spaniel,25-28,4-7
Tibetan Terrier,36-41,8-14
Toy Fox Terrier,20-28,2.5-3.5
Toy Manchester Terrier,25-30,2.5-3.5
Toy Poodle,24-28,3-4
Treeing Walker Coonhound,51-69,20-32
Vizsla,56-64,20-30
Weimaraner,61-69,25-39
Welsh Springer Spaniel,43-46,16-20
Welsh Terrier,36-39,8-9.5
West Highland White Terrier,28-31,6-10
Whippet,47-51,11-14
Wire Fox Terrier,39-41,7.5-8
Wirehaired Pointing Griffon,52-60,20-30
Wirehaired Vizsla,56-61,20-30
Xoloitzcuintli,25-58,4-27
Yorkshire Terrier,18-23,2.5-3.5
